,text
240,"Withdrawal from opiates is sometimes managed with a 10-14 day tapering dose 
of methadone or naltrexone."
241,"Specialist Consultation I 
Specialized counselling programmes for dependence should be considered, if available."
242,"Drug use disorders -FIl # 15 Chronic psychotic disorders -F20# 
I Presenting complaints 
Patients may present with: 
-difficulties with thinking or concentration 
-reports of hearing voices 
-strange beliefs (e. g., having supernatural powers, being persecuted) 
-extraordinary physical complaints (e. g., having animal or unusual objects inside one's body) 
-problems or questions related to antipsychotic medication."
243,There may be problems in managing work or studies.
244,"-Families may seek help because of apathy, withdrawal, poor hygiene or strange behaviour."
245,"I Diagnostic features I 
Chronic problems with the following features: 
-social withdrawal 
-low motivation or interest, self-neglect 
-disordered thinking (exhibited by strange or disjointed speech)."
246,"Periodic episodes of: 
-agitation or restlessness 
-bizarre behaviour 
-hallucinations (false or imagined perceptions, e. g., hearing voices) 
-delusions (firm beliefs that are plainly false, e. g., patient is related to royalty, receiving mes-
sages from televesion, being followed or persecuted)."
247,"I Differential diagnosis I 
If symptoms of depression are prominent (low or sad mood, pessimism, feelings of guilt) see 
Depression -F32#."
248,"If symptoms of mania (excitement, elevated mood, exaggerated self-worth) are prominent, see 
Bipolar disorder -F31."
249,"Chronic intoxication or withdrawal from alcohol or other substances (stimulants, hallucino­
gens) can cause psychotic symptoms."
250,"See Alcohol use disorders -FlO and Drug use disorders -
Fll#."
251,18 Chronic psychotic disorders -F20# Agitation and strange behaviour are symptoms of a mental illness.
252,Symptoms may come and go over time.
253,Anticipate and prepare for relapses.
254,"-Medication is a central component of treatment; it will both reduce current difficulties and 
prevent relapse."
255,-Family support is essential for compliance with treatment and effective rehabilitation.
256,-Community organizations can provide valuable support to patient and family.
257,"I Counselling to patient and family I 
-Discuss treatment plan with family members and obtain their support for it."
258,Explain that drugs will prevent relapse and inform patient of side-effects.
259,"-Encourage patient to function at the highest reasonable level in work and other daily 
activities."
260,"Encourage patient to respect community standards and expectations (dress, appearance, be­
haviour)."
261,"-Minimize stress and stimulation: 
• do not argue with psychotic thinking 
• avoid confrontation or criticism 
• during periods when symptoms are more severe, rest and withdrawal from stress may be 
helpful."
262,-Refer to Acute Psychosis -F23 for advice on the management of agitated or excited states.
263,"I Medication I 
Antipsychotic medication will reduce psychotic symptoms (e. g., haloperidol 2-5 mg up to 
three times a day or chlorpromazine lOO-200mg up to three times a day)."
264,"The dose should be 
the lowest possible for the relief of symptoms, though some patients may require higher doses."
265,Inform the patient that continued medication will reduce risk of relapse.
266,"In general, antipsy­
chotic medication should be continued for at least three months following a first episode of 
illness and longer after a subsequent episode."
267,"If the patient fails to take medication as requested, injectable long-acting antipsychotic medi­
cation may ensure continuity of treatment and reduce risk of relapse."
268,Inform patient of potential side-effects.
269,"Common motor side-effects include: 
-acute dystonias or spasms that can be managed with injectable benzodiazepines or anti park­
insonian drugs 
-akathisia (severe motor restlessness) that can be managed with dosage reduction or beta 
blockers."
270,"-Parkinsonian symptoms (tremor, akinesia) that can be managed with oral antiparkinsonian 
drugs (e.g., biperiden 1 mg up to three times a day)."
271,"Specialist consultation I 
If facilities exist, consider consultation for all new cases of psychotic disorder."
272,Depression or mania with psychotic symptoms may need other treatment.
273,"Consider consulta­
tion to clarify diagnosis and ensure most appropriate treatment."
274,"Consultation with appropriate community services may reduce family burden and improve 
rehabilitation."
275,Also consider consultation in cases of severe motor side-effects.
276,"Chronic psychotic disorders -F20# 19 Acute psychotic disorders -F23 
I Presenting complaints 
Patients may experience: 
-hearing voices 
-strange beliefs or fears 
-confusion 
apprehension."
277,"Families may ask for help with behaviour changes that cannot be explained, including strange 
or frightening behaviour (withdrawal, suspiciousness, threats)."
278,"I Diagnostic features I 
Recent onset of: 
-hallucinations (false or imagined sensations, e. g., hearing voices when no one is around) 
-delusions (firmly held ideas that are plainly false and not shared by others in the patient's 
social group, e. g., patients believe they are being poisoned by neighbours, receiving messages 
from television, or being looked at by others in some special way) 
-agitation or bizarre behaviour 
-disorganized or strange speech 
-extreme and labile emotional states."
279,"I Differential diagnosis I 
Physical disorders which can cause psychotic symptoms include: 
-epilepsy 
-intoxication or withdrawal from drugs or alcohol 
-infectious or febrile illness."
280,"Refer to card on Delirium -FOS for other potential causes 
If psychotic symptoms are recurrent or chronic, also see Chronic psychotic disorders F20#."
281,"If symtoms of mania (elevated modd, racing speech or thoughts, exaggerated self-worth) are 
prominent, the patient may be experiencing a manic episode."
282,See Bipolar disorder F31.
283,"If low or sad mood is prominent, also see Depression F32#."
284,20 Acute psychotic disorders F23 Agitation and strange behaviour are symptoms of a mental illness.
285,"Acute episodes often have a good prognosis, but long-term course of the illness is difficult 
to predict from an acute episode."
286,-Continued treatment may be needed for several months after symptoms resolve.
287,Advise family about legal issues related to mental health treatment.
288,"Counselling of patient and family I 
Ensure the safety of the patient and those caring for him/her: 
• family or friends should stay with the patient 
• ensure that the patient's basic needs (e. g., food and drink) are met 
• take care not to harm the patient."
289,-Minimize stress and stimulation.
290,"• do not argue with psychotic thinking (you may disagree with the patient's beliefs, but 
do not try to argue that they are wrong)."
291,"• avoid confrontation or criticism unless it is necessary to prevent harmful or disruptive 
behaviour."
292,"-Agitation which is dangerous to the patient, the family or the community reqUires hospi­
talization or close observation in a secure place."
293,"If patients refuse treatment, legal measures 
may be needed 
-Encourage resumption of normal activities after symptoms improve."
294,"I Medication I 
Antipsychotic medication will reduce psychotic symptoms (e. g., haloperidol 2-5 mg up to 
three times a day or chlorpromazine 100--200 mg up to three times a day)."
295,"The dose should be 
the lowest possible for the relief of symptoms, though some patients may require higher doses."
296,"Anti-anxiety medication may also be used in conjunction with neuroleptics to control acute 
agitation (e.g., lorazepam 1-2mg up to four times a day)."
297,Continue antipsychotic medication for at least three months after symptoms resolve.
298,"Monitor for side-effects of medication: 
-acute dystonias or spasms may be managed with injectable benzodiazepines or antiparkin­
sonian drugs 
akathisia (severe motor restlessness) may be managed with dosage reduction or beta-blockers 
-Parkinsonian symptoms (tremor, akinesia) may be managed with oral antiparkinsonian 
drugs (e. g., biperiden 1 mg up to three times a day)."
299,"I Specialist consultation I 
If pOSSible, consider consultation for all new cases of psychotic disorder."
300,"In cases of severe motor side-effects or the appearance of fever, rigidity, hypertenSion, stop 
antipsychotic medication and consider consultation."
301,"Acute psychotic disorders -F23 21 Bipolar disorder -F31 
esenting complaints 
Patients may have a period of depression, mania or excitement with the pattern described 
below."
302,"I Diagnostic features I 
Periods of mania with: 
increased energy and activity 
rapid speech elevated mood or irritability 
loss of inhibitions."
303,"decreased need for sleep increased importance of self 
The patient may be easily distracted."
304,"The patient may also have periods of depression with: 
low or sad mood 
loss of interest or pleasure."
305,"The following associated symptoms are frequently present: 
disturbed sleep 
guilt or low self-worth 
Fatigue or loss of energy poor concentration 
disturbed appetite 
suicidal thoughts or acts."
306,Either type of episode may predominate.
307,Episodes may be frequent or may be separated by periods of normal mood.
308,"In severe cases, patients may have hallucinations (hearing voices, seeing visions) or delusions 
(strange or illogical beliefs) during periods of mania or depression."
309,"I Differential diagnosis I 
Alcohol or drug use may cause similar symptoms."
310,"If heavy alcohol or drug use is present, see 
Alcohol use disorders -Fl0 and Drug use disorders -F11 #."
311,"22 Bipolar disorder -F31 Essential information for patient and family 
Unexplained changes in mood and behaviour are symptoms of an illness."
312,Effective treatments are available.
313,Long-term treatment can prevent future episodes.
314,"If left untreated, manic episodes may become disruptive or dangerous."
315,"Manic episodes often 
lead to loss of job, legal problems, finandal problems or high-risk sexual behaviour."
316,"Counselling to patient and family I 
During depression, ask about risk of suicide."
317,"(Has the patient frequently thought of death 
or dying'!"
318,Does the patient have a spedfic suidde plan?
319,"Has he/she made serious suidde 
attempts in the past?"
320,Can the patient be sure not to act on suiddal ideas?)
321,"Close supervision 
by family or friends may be needed."
322,Ask about risk of hann to others (see Depression -F32#).
323,"During manic periods: 
• avoid confrontation unless necessary to prevent hannful or dangerous acts 
• advise caution about impulsive or dangerous behaviour 
• close observation by family members is often needed 
• if agitation or disruptive behaviour are severe, consider hospitalization."
324,"During depressed periods, consult management guidelines for depression (see Depression -
F32#)."
325,"If patient displays agitation, exdtement or disruptive behaviour, antipsychotic medication may 
be needed initially (e. g., haloperidol 2-S mg up to three times a day or chlorpromazine 
100-200mg up to three times a day)."
326,"The dose should be the lowest possible for the relief of symptoms, though some patients may 
require higher doses."
327,"If antipsychotic medication causes acute dystonic reactions (muscle 
spasms) or marked extrapyramidal symptoms (stiffness, tremors)."
328,"Antiparkinsonian medication 
(e. g., benztropine 0.S-1.0mg up to three times a day) may be helpful."
329,"Routine use is not nec­
essary."
330,"Benzodiazepines may also be used in conjunction with neuroleptics to control acute agitation 
(e. g., lorazepam 1-2mg up to four times a day)."
331,Lithium will help relieve mania and depression and can prevent episodes from recurring.
332,"Al­
ternative medications include carbamazepine and valproate."
333,"If lithium is prescribed: 
-the dose should start at 300 mg tiwice daily and the average dose should be 600 mg twice 
daily 
-the level of lithium in the blood should be measured frequently when adjusting the dose 
and every three to six months in stable patients (desired blood level is 0.6-1.0 meq per litre) 
-tremors, diarrhoea, nausea or confusion may indicate lithium intoxication so check blood 
level of lithium if possible and stop lithium until symptoms resolve 
-lithium should be continued for at least six months after symptoms resolve (longer-term use 
is usually necessary to prevent recurrences)."
334,"Antidepressant medication is often needed during phases of depression but can precipitate 
mania when used alone (see Depression -F32#)."
335,"I Specialist consultation I 
Consider consultation: 
-if risk of suicide or disruptive behaviour is severe 
-if significant depression or mania continues."
336,"Bipolar disorder -F31 23 Depression -F32# 
I Presenting complaints I 
The patient may present initially with one or more physical symptoms (fatigue, pain)."
337,"Further 
enquiry will reveal depression or loss of interest."
338,Irritability is sometimes the presenting problem.
339,"Some groups are at higher risk (e. g., those who have recently given birth or had a stroke, those 
with Parkinson's disease or multiple sclerosis."
340,"I Diagnostic features I 
-Low or sad mood 
-Loss of interest or pleasure 
The following associated symptoms are frequently present: 
disturbed sleep disturbed appetite 
guilt or loss of self-confidence suicidal thoughts or acts."
341,"fatigue or loss of energy or decreased libido poor concentration 
agitation or slowing of movement or speech 
Symptoms of anxiety or nervousness are also frequently present."
342,"I Differential diagnosis I 
If hallucinations (hearing voices, seeing visions) or delusions (strange or unusual beliefs) are 
present, see Acute psychotic disorders -F23 for management of these problems."
343,"Consider con­
sultation about management."
344,"If the patient has a history of manic episodes (excitement, elevated mood, rapid speech), see 
Bipolar disorder -F31."
345,"If heavy alcohol or drug use is present, see Alcohol use disorders -1'10 and Drug use disorders 
1'11#."
346,"Some medications may produce symptoms of depression (e. g., beta-blockers, other antihyper­
tensives, H2 blockers, oral contraceptives, corticosteroids)."
347,"24 Depression -F32# Essential information for patient and family 
-Depression is a common illness and effective treatments are available."
348,Depression is not weakness or lazinessi patients are trying hard to cope.
349,"Counselling of patient and family I 
Ask about risk of suicide."
350,Has the patient often thought of death or dying?
351,"Does the patient 
have a specific suicide plan?"
352,Has he/she made serious suicide attempts in the past?
353,"Can the 
patient be sure not to act on suicidal ideas?"
354,"Close supervision by family or friends, or hos­
pitalization, may be needed."
355,Ask about risk of hann to others.
356,Plan short-term activities which give the patient enjoyment or build confidence.
357,"Encourage the patient to resist pessimism and self-criticism, not to act on pessimistic 
ideas (e. g., ending marriage, leaving job), and not to concentrate on negative or guilty 
thoughts."
358,-Identify current life problems or social stresses.
359,"Focus on small, specific steps patients 
might take towards reducing or better managing these problems."
360,"Avoid major decisions or 
life changes."
361,"If physical symptoms are present, discuss the link between physical symptoms and mood 
(see Unexplained somatic complaints F45)."
362,"After improvement, plan with patient the action to be taken if signs of relapse occur."
363,"Consider antidepressant drugs if sad mood or loss of interest are prominent for at least 
two weeks and four or more of these symptoms are present: 
fatigue or loss of energy disturbed sleep guilt or self-reproach 
poor concentration thoughts of death or suicide disturbed appetite 
agitation OR slowing of movement and speech."
364,"In severe cases, consider medication at the first visit."
365,"In moderate cases, consider medication 
at a follow-up visit if counselling is not sufficiently helpful."
366,"Choice of medication: 
If the patient has responded well to a particular drug in the past, use that drug again."
367,"-If the patient is older or physically ill, use medication with fewer anticholinergic and car­
diovascular side-effects."
368,"If the patient is anxious or unable to sleep, use a drug with more sedative effects."
369,Build up to the effective dose.
370,"Antidepressants (e. g., imipramine) should start at 2S-S0 mg 
each night and increase to 100-lS0mg by 10 days."
371,"Lower doses should be given if the patient 
is older or physically ilL 
Explain to the patient that the medication must be taken every day, that improvement 
will build up over two to three weeks after starting the medication, and that mild side­
effects may occur but usually fade in 7-10 days."
372,"Stress that the patient should consult the 
physician before stopping the medication."
373,Continue antidepressant medication for at least three months after the condition improves.
374,"I Specialist consultation I 
Consider consultation if the patient shows: 
-Significant risk of suicide or danger to others 
psychotic symptoms 
-persistence of significant depression following the above treatment."
375,"More intensive psychotherapies (e. g., cognitive therapy, interpersonal therapy) may be useful 
for initial treatment and prevention of relapse."
376,"Depression F32# 25 Phobic disorders -F40 
(includes agoraphobia, social phobia) 
Patients may avoid or restrict activities because of fear."
377,"They may have difficulty travelling to the doctor's office, going shopping, visiting others."
378,"Patients sometimes present with physical symptoms (palpitations, shortness of breath, ""asth­
ma"")."
379,Questioning will reveal specific fears.
380,"Diagnostic features I 
Unreasonably strong fear of specific places or events."
381,"Patients often avoid these situations 
altogether."
382,"Commonly feared situations include: 
leaving home 
open spaces 
speaking in public crowds or public places 
travelling in buses, cars, trains, or planes 
sodal events."
383,Patients may be unable to leave home or unable to stay alone because of fear.
384,"tial diagnosis 
If anxiety attacks are prominent see Panic disorder F41.0."
385,"If low or sad mood is prominent, see Depression -F32#."
386,"Many of the management guidelines opposite may also be helpful for spedfic phobias (e. g., 
fear of water, fear of heights)."
387,"26 Phobic disorders -F40 Essential information for patient a 
Phobias can be treated."
388,Avoiding feared situations allows the fear to grow stronger.
389,Following a set of specific steps can help a person overcome fear.
390,"Counselling of patient and family I 
Encourage the patient to practise controlled breathing methods to reduce physical symp­
toms of fear."
391,"Ask the patient to make a list of all situations that he/she fears and avoid although other 
people do not."
392,"Discuss ways to challenge these exaggerated fears (e.g., patient reminds him/herself, ""l 
am feeling a little anxious because there is a large crowd."
393,"The feeling will pass in a few 
minutes."")."
394,"Plan a series of steps to enable the patient to confront and get used to feared situations: 
• Identify a small first step towards the feared situation (e. g., take a short walk away from 
home with a family member)."
395,• This step should be practised for one hour each day until it is no longer frightening.
396,"• If the feared situation still causes anxiety, the patient should practise slow and relaxed 
breathing, telling him/herself that the panic will pass within 30 minutes."
397,"The patient 
should not leave the feared situation until the fear subsides."
398,"• Move on to a slightly more difficult step and repeat the procedure (e. g., spend a longer 
time away from home)."
399,"• Take no alcohol or anti-anxiety medidne for at least four hours before practising these 
steps."
400,Identify a friend or family member who will help in overcoming the fear.
401,"Self-help groups 
can assist in confronting feared situations."
402,"-The patient should avoid using alcohol or benzodiazepine drugs to cope with feared situ­
ations."
403,"I Medication I 
-With the use of these counselling methods, many patients will not need medication."
404,"How­
ever, if depression is also present, antidepressant medication may be helpful (e.g., imi­
pramine SO-lS0mg a day)."
405,"-For patients with infrequent and limited symptoms, occasional use of antianxiety medica­
tion (e.g., benzodiazepines) may help."
406,"Regular use may lead to dependence, however, and 
is likely to result in return of symptoms when discontinued."
407,"-For management of performance anxiety (e.g., fear of public speaking) beta-blockers may 
reduce physical symptoms."
408,"Specialist consultatio 
Consider consultation if disabling fears (e. g., patient is unable to leave home) persist."
409,"Referral 
for behavioural psychotherapy, if available, may be effective for patients who do not improve."
410,"Phobic disorders -F40 27 Panic disorder -F41.0 
Patients may present with one or more physical symptoms (e. g., chest pain, dizziness, shortness 
of breath)."
411,Further enquiry shows the full pattern described below.
412,"Unexplained attacks of anxiety or fear that begin suddenly, develop rapidly and may last 
only a few minutes."
413,"The attacks often occur with physical symptoms such as palpitation, chest pain, sensations 
of choking, churning stomach, dizziness, feelings of unreality, or fear of personal disaster (los­
ing control or going mad, heart attack, sudden death)."
414,"An attack often leads to fear of another attack and avoidance of places where attacks have 
occurred."
415,"Patients may avoid exercise or other activities that may produce physical sensations 
similar to those of a panic attack."
416,"Differential diagnosis 
Many medical conditions may cause symptoms similar to panic attacks (arrhythmia, cerebral 
ischemia, coronary disease, thyrotoxicosis)."
417,"History and physical examination should be suf­
ficient to exclude many of these."
418,"If attacks occur only in specific feared situations, see Phobic disorders -F40."
419,"If low or sad mood is also present, see Depression F32#."
420,"28 Panic disorder F41.0 Essential information for patient and family 
-Panic is common and can be treated."
421,-Anxiety often produces frightening physical sensations.
422,"Chest pain, dizziness or shortness 
of breath are not necessarily signs of a physical illness: they will pass when anxiety is con­
trolled."
423,"-Panic anxiety also causes frightening thoughts (fear of dying, a feeling that one is going mad 
or will lose control)."
424,These also pass when anxiety is controlled.
425,-Mental and physical anxiety reinforce each other.
426,"Concentrating on physical symptoms will 
increase fear."
427,"- A person who withdraws from or avoids Situations where attacks have occurred will only 
strengthen his/her anxiety."
428,"I Counselling of patient and family I 
-Advise the patient to take the following steps if a panic attack occurs: 
• stay where you are until the attack passes."
429,• Concentrate on controlling anxiety.
430,not on physical symptoms.
431,"• Practice slow, relaxed breathing."
432,"Breathing too deeply or rapidly (hyperventilation) can 
cause some of the physical symptoms of panic."
433,"Controlled breathing will reduce physical 
symptoms."
434,"• Tell yourself that this is a panic attack and that frightening thoughts and sensations will 
soon pass."
435,Note the time passing on your watch.
436,"It may feel like a long time but it will be 
only a few minutes."
437,"-Identify exaggerated fears which occur during panic (e. g., patient fears that he/she is hav­
ing a heart attack)."
438,"-Discuss ways to challenge these fears during paniC (e. g., patient reminds him/herself, flI 
am not having a heart attack."
439,This is a panic attack.
440,"and it will pass in a few minutes"")."
441,Self-help groups may help the patient manage panic symptoms and overcome fears.
442,"Medication I 
Many patients will benefit from counselling and will not need medication."
443,"If attacks are frequent and severe, or if the patient is significantly depressed, antidepres­
sants may be helpful (e. g., imipramine 25 mg at night increasing to 100-150 mg at night after 
two weeks)."
444,"For patients with infrequent and limited attacks, short-term use of antianxiety medication 
may be helpful (lorazepam O.S-l.Omg up to three times a day)."
445,"Regular use may lead to de­
pendence and is likely to result in the return of paniC symptoms when discontinued."
446,Avoid unnecessary tests or medications.
447,"edalist consultation 
Consider consultation if severe attacks continue after the above treatments."
448,"Referral for cognitive and behavioural psychotherapies, if available, may be effective for pa­
tients who do not improve."
449,Panic commonly causes physical symptoms.
450,Avoid unnecessary medical consultation.
451,"Panic disorder -F41.0 29 Generalized anxiety -F41.1 
I Presenting complaints I 
The patient may present initially with tension-related physical symptoms (e. g., headache, 
pounding heart) or with insomnia."
452,Enquiry will reveal prominent anxiety.
453,"I Diagnostic features I 
Multiple symptoms of anxiety or tension: 
mental tension (worry, feeling tense or nervous, poor concentration) 
physical tension (restlessness, headaches, tremors, inability to relax) 
physical arousal (dizziness, sweating, fast or pounding heart, dry mouth, stomach pains) 
Symptoms may last for months and recur often."
454,"They are often triggered by stressful events in 
those with a chronic tendency to worry."
455,"Differential diagnosis I 
If low or sad mood is prominent, see Depression F32#."
456,"If sudden attacks of unprovoked anxiety are present, see Panic disorder F4l.0."
457,"-If fear and avoidance of spedfic situations are present, see Phobic disorders F40."
458,"-If heavy alcohol or drug use is present, see Alcohol use disorders -FlO and Drug use disorders 
-Fl1#."
459,"-Certain physical conditions (thyrotoxicosis) or medications (methyl xanthines, beta 
agonists) may cause anxiety symptoms."
460,"30 Generalized anxiety F41.1 Essential information for patient and fa 
-Stress and worry have both physical and mental effects."
461,"-Learning skills to reduce the effects of stress (not sedative medication) is the most ef-
fective relief."
462,"I Counselling of patient and family I 
-Encourage the patient to practise daily relaxation methods to reduce physical symptoms 
of tension."
463,"-Encourage the patient to engage in pleasurable activities and exercise, and to resume activi­
ties that have been helpful in the past."
464,Identifying and challenging exaggerated worries can reduce anxiety symptoms.
465,"• Identify exaggerated worries or pessimistic thoughts (e. g., when daughter is five minutes 
late from school, patient worries that she may have had an accident)."
466,"• Discuss ways to challenge these exaggerated worries when they occur (e.g., when the pa­
tient starts to worry about the daughter, the patient could tell him/herself, III am starting 
to be caught up in worry again."
467,"My daughter is only a few minutes late and should be 
home soon."
468,"I won't call the school to check unless she's an hour late"")."
469,"Structured problem-solving methods can help patients to manage current life problems or 
stresses which contribute to anxiety symptoms."
470,"• Identify events that trigger excessive worry (e. g., a young woman presents with worry, 
tension, nausea and insomnia."
471,"These symptoms began after her son was diagnosed with 
asthma."
472,Her anxiety worsens when he has asthma episodes).
473,• Discuss what the patient is doing to manage this situation.
474,"Identify and reinforce things ~ 
that are working."
475,"• Identify some specific actions the patient can take in the next few weeks, such as: 
• meet with nurse/doctor/health professionals to learn about the course and management 
of asthma 
• discuss concerns with parents of other asthmatic children 
• write down a plan for management of asthma episodes."
476,Regular physical exercise is often helpful.
477,"Medication I 
Medication is a secondary treatment in the management of generalized anxiety."
478,"It may be used, 
however, if significant anxiety symptoms persist despite counselling."
479,"-Antianxiety medication (e.g., diazepam S-lOmg at night) may be used for no longer than 
two weeks."
480,"Longer-term use may lead to dependence and is likely to result in the return of 
symptoms when discontinued."
481,Beta-blockers may help control physical symptoms.
482,"Antidepressant drugs may be helpful (especially if symptoms of depression are present) and 
do not lead to dependence or rebound symptoms."
483,"For details, see Depression -F32#."
484,"Specialist consultation 
Consultation may be helpful if severe anxiety lasts longer than three months."
485,"Generalized anxiety -F41.1 31 Mixed anxiety and depression -F41.2 
I Presenting complaints 
The patient presents with variety of symptoms of anxiety and depression."
486,"There may initially be one or more physical symptoms (e. g., fatigue, pain)."
487,"Further enquiry 
will reveal depressed mood and/or anxiety."
488,"I Diagnostic features I 
-Low or sad mood 
-Loss of interest or pleasure 
-Prominent anxiety or worry 
The following associated symptoms are frequently present: 
disturbed sleep tremor 
fatigue or loss of energy palpitations 
poor concentration dizziness 
disturbed appetite suIcidal thoughts or acts 
dry mouth loss of libido 
tension and restlessness 
[Differential diagnosis I 
-If more severe symptoms of depression or anxiety are present, see management guidelines 
for Depression F32# and Generalized anxiety F41.1."
489,"-If somatic symptoms predominate, see Unexplained somatic symptoms F45."
490,"-If the patient has a history of manic episodes (excitement, elevated mood, rapid speech), see 
Bipolar disorder F31."
491,"-If heavy alcohol or drug use is present, see Alcohol use disorders -FlO and Drug use disorders 
Fll#."
492,"32 Mixed anxiety and depression -F41.2 Essential information for patient and family 
-Stress and worry have many physical and mental effects."
493,-These problems are not due to weakness or laziness; patients are trying to cope.
494,"I Counselling of patient and family I 
-Encourage the patient to practice relaxation methods to reduce physical symptoms of ten­
sion."
495,"-Plan short-term activities that are relaxing, enjoyable or help the patient to build con­
fidence."
496,Resume activities that have been helpful in the past.
497,-Discuss ways to challenge negative thoughts or exaggerated worries.
498,"-If physical symptoms are present, discuss link between physical symptoms and mental 
distress (see Unexplained somatic complaints -F45)."
499,"If tension-related symptoms are promi­
nent, recommend relaxation methods to relieve physical symptoms."
500,"-Structured problem-solving methods can help patients to manage life problems or stresses 
which contribute to anxiety symptoms."
501,"• Identify events that trigger excessive worry and work out practical steps for coping with 
them (e.g., A young woman presents with worry, tension, nausea and insomnia."
502,"These 
symptoms began after her son was diagnosed with asthma."
503,"Her anxiety worsens when he 
has asthma episodes.)."
504,• Discuss what the patient is doing to manage this situation.
505,"Identify and reinforce things 
that are working."
506,"• Identify some specific actions the patient can take in the next few weeks, such as: 
• meet with nurse/doctor to learn about the course and management of asthma 
• discuss concerns with parents of other asthmatic children 
• write down a plan for management of asthma episodes."
507,-Ask about risk of suicide.
508,Has the patient thought frequently about death or dying?
509,"Does 
the patient have a specific suicide plan?"
510,"Has he/she made serious suicide attempts in the 
past?"
511,Can the patient be sure not to act on suicidal ideas?
512,"Close observation by family or 
hospitalization may be necessary."
513,"Medication I 
In mild cases: 
-Medication is a secondary component of management."
514,"If more severe symptoms of depres­
sion are present, however, antidepressant drugs may be used."
515,"See Depression F32# for guid­
ance on use of antidepressant drugs."
516,"Specialist consultation I 
-If the risk of suicide is severe, consider consultation and/or hospitalization."
517,"-If significant symptoms persist despite the above treatment, refer to the management 
advice given for Depression F32# and Generalized anxiety -F41.1."
518,"Follow advice given there 
regarding consultation."
519,"Mixed anxiety and depression F41.2 33 Adjustment disorder -F43.2 
I Presenting complaints I 
Patients feel overwhelmed or unable to cope."
520,"There may be stress-related physical symptoms such as insomnia, headache, abdominal pain, 
chest pain, palpitations."
521,"I Diagnostic features I 
-Acute reaction to recent stressful or traumatic event."
522,"-Extreme distress resulting from a recent event, or preoccupation with the event."
523,-Symptoms may be primarily somatic.
524,"-Other symptoms may include: 
low or sad mood 
anxiety 
worry 
feeling unable to cope."
525,Acute reaction usually lasts from a few days to several weeks.
526,"Differential 
If dissociative symptoms (sudden onset of unusual or dramatic somatic symptoms) are present, 
see Dissociative (conversion) disorder -F45."
527,Acute symptoms may persist or evolve over time.
528,"If significant symptoms persist longer than 
one month, consider an alternative diagnosis: 
-if significant symptoms of depression persist, see Depression F32# 
-if significant symptoms of anxiety persist, see Generalized anxiety F41.1 
-if stress-related somatic symptoms persists, see Unexplained somatic complaints -F45."
529,"-if symptoms are due to a loss of a loved one, see Bereavement disorders -Z63."
530,"34 Adjustment disorder F43.2 Essential information for patient and family 
-Stressful events often have mental and physical effects."
531,-Stress-related symptoms usually last only a few days or weeks.
532,I Counselling of patient and family !
533,Encourage the patient to acknowledge the personal significance of the stressful event.
534,Review and reinforce positive steps the patient has taken to deal with the stress.
535,-Identify steps the patient can take to modify the situation that produced the stress.
536,"If the 
situation cannot be changed, discuss problem-solving strategies."
537,"Identify relatives, friends and community resources able to offer support."
538,-Short-term rest and relief from stress may help the patient.
539,Encourage a return to usual activities within a few weeks.
540,Most acute stress reactions will resolve without use of medication.
541,"However, If severe anxiety 
symptoms occur, use antianxiety drugs for up to three days (e. g., benzodiazepines such as 
lorazepam O.5-l.0mg up to three times a day)."
542,"If the patient has severe insomnia, use hypnotic drugs for up to three days (e.g., temazepam 
15 mg each night)."
543,"I Specialist consultation I 
If symptoms last longer than one month, consider a more specific diagnosis (see Differential 
diagnosis)."
544,Follow advice regarding consultation for that diagnosis.
545,"Adjustment disorder -F43.2 35 Dissociative (conversion) disorder -F44 
I Presenting complaints I 
Patients exhibit unusual or dramatic physical symptoms such as seizures, amnesia, trance, loss 
of sensation, visual disturbances, paralysis, aphonia, identity confusion, ""possession"" states."
546,"I Diagnostic features I 
Physical symptoms that are: 
-unusual in presentation 
-not consistent with known disease 
Onset is often sudden and related to psychological stress or difficult personal circum­
stances."
547,"In acute cases, symptoms may: 
be dramatic and unusual 
change from time to time 
-be related to attention from others."
548,"In more chronic cases, patients may appear calm in view of the seriousness of the complaint."
549,"I Differential~iagnosis I 
Carefully consider physical conditions which may cause symptoms."
550,"A full history and physical 
(including neurological) examination are essential."
551,"Early symptoms of neurological disorders 
(e. g., multiple sclerosis) may resemble conversion symptoms."
552,"If other unexplained physical symptoms are present, see Unexplained somatic complaints -F45."
553,"If pronounced depressive symptoms are present, see Depression F32#."
554,"36 Dissociative (conversion) disorder F44 Essential information for patient and family 
-Physical or neurological symptoms often have no clear physical cause."
555,"Symptoms can be 
brought about by stress."
556,Symptoms usually resolve rapidly (from hours to a few weeks) leaving no permanent damage.
557,"Counselling of patient and family 
-Encourage the patient to acknowledge recent stresses or difficulties (though it is not nec­
essary for the patient to link the stresses to current symptoms)."
558,-Give positive reinforcement for improvement.
559,Try not to reinforce symptoms.
560,"Advise the patient to take a brief rest and relief from stress, then return to usual activities."
561,-Advise against prolonged rest or withdrawal from activities.
562,"I Medication I 
Avoid anxiolytics or sedatives."
563,"In more chronic cases with depressive symptoms, antidepressant medication may be helpful 
(e.g., amitriptyline 2S-S0mg each night increasing to lOO-lSOmg each night after 10 days)."
564,"Consider consultation: 
-if symptoms persist longer than six months 
-to prevent or treat physical complications of dissociative symptoms (e. g., contractures)."
